Resistance	Temperature	T error	R1
Ohm	°C	°C	Ohm
11898	20.96	0.10	10858
11465	21.78	0.10
11075	22.55	0.10
10642	23.44	0.10
10272	24.23	0.10
9949	24.95	0.10
9570	25.83	0.10
9249	26.62	0.10
8937	27.41	0.10
