nm, A
410.000000, 0.081654
409.000000, 0.079572
408.000000, 0.077995
407.000000, 0.076678
406.000000, 0.075426
405.000000, 0.074441
404.000000, 0.073573
403.000000, 0.072993
402.000000, 0.072321
401.000000, 0.072100
400.000000, 0.071575
399.000000, 0.071240
398.000000, 0.071061
397.000000, 0.071067
396.000000, 0.071185
395.000000, 0.071111
394.000000, 0.071176
393.000000, 0.071404
392.000000, 0.071672
391.000000, 0.071866
390.000000, 0.072513
389.000000, 0.072955
388.000000, 0.073543
387.000000, 0.074215
386.000000, 0.074554
385.000000, 0.075261
384.000000, 0.073791
383.000000, 0.072035
382.000000, 0.073209
381.000000, 0.073399
380.000000, 0.073664
379.000000, 0.072923
378.000000, 0.073462
377.000000, 0.073369
376.000000, 0.072939
375.000000, 0.072810
374.000000, 0.072068
373.000000, 0.071842
372.000000, 0.070950
371.000000, 0.070333
370.000000, 0.069564
369.000000, 0.068899
368.000000, 0.068148
367.000000, 0.067762
366.000000, 0.066997
365.000000, 0.066560
364.000000, 0.066180
363.000000, 0.065882
362.000000, 0.065687
361.000000, 0.065430
360.000000, 0.065511
359.000000, 0.065153
358.000000, 0.065507
357.000000, 0.065664
356.000000, 0.066350
355.000000, 0.066900
354.000000, 0.067985
353.000000, 0.069909
352.000000, 0.071349
351.000000, 0.073577
350.000000, 0.076460
