nm, A
700.000000, -0.001420
699.000000, -0.001420
698.000000, -0.001447
697.000000, -0.001378
696.000000, -0.001234
695.000000, -0.001322
694.000000, -0.001243
693.000000, -0.001191
692.000000, -0.001143
691.000000, -0.001135
690.000000, -0.001139
689.000000, -0.001122
688.000000, -0.001048
687.000000, -0.001088
686.000000, -0.001027
685.000000, -0.000992
684.000000, -0.000878
683.000000, -0.000948
682.000000, -0.000804
681.000000, -0.000944
680.000000, -0.000817
679.000000, -0.000822
678.000000, -0.000787
677.000000, -0.000778
676.000000, -0.000840
675.000000, -0.000809
674.000000, -0.000717
673.000000, -0.000766
672.000000, -0.000753
671.000000, -0.000784
670.000000, -0.000828
669.000000, -0.000656
668.000000, -0.000780
667.000000, -0.000745
666.000000, -0.000736
665.000000, -0.000771
664.000000, -0.000710
663.000000, -0.000661
662.000000, -0.000613
661.000000, -0.000543
660.000000, -0.000657
659.000000, -0.000596
658.000000, -0.000539
657.000000, -0.000636
656.000000, -0.000442
655.000000, -0.000349
654.000000, -0.000243
653.000000, -0.000380
652.000000, -0.000141
651.000000, -0.000221
650.000000, -0.000146
649.000000, -0.000133
648.000000, -0.000102
647.000000, -0.000066
646.000000, -0.000058
645.000000, -0.000058
644.000000, -0.000089
643.000000, -0.000035
642.000000, 0.000004
641.000000, -0.000084
640.000000, -0.000040
639.000000, -0.000283
638.000000, -0.000151
637.000000, -0.000173
636.000000, -0.000124
635.000000, -0.000111
634.000000, -0.000044
633.000000, -0.000062
632.000000, 0.000133
631.000000, 0.000217
630.000000, 0.000040
629.000000, 0.000075
628.000000, 0.000075
627.000000, 0.000080
626.000000, 0.000058
625.000000, -0.000004
624.000000, 0.000080
623.000000, 0.000089
622.000000, -0.000075
621.000000, -0.000062
620.000000, -0.000111
619.000000, 0.000022
618.000000, -0.000137
617.000000, -0.000027
616.000000, -0.000009
615.000000, -0.000102
614.000000, -0.000062
613.000000, -0.000159
612.000000, -0.000115
611.000000, -0.000044
610.000000, -0.000004
609.000000, -0.000093
608.000000, -0.000049
