nm, A
410.000000, 0.071978
409.000000, 0.070718
408.000000, 0.069744
407.000000, 0.068882
406.000000, 0.068289
405.000000, 0.067621
404.000000, 0.067211
403.000000, 0.066784
402.000000, 0.066484
401.000000, 0.066298
400.000000, 0.066185
399.000000, 0.066061
398.000000, 0.066104
397.000000, 0.066603
396.000000, 0.066699
395.000000, 0.067095
394.000000, 0.067417
393.000000, 0.068066
392.000000, 0.068578
391.000000, 0.069058
390.000000, 0.069799
389.000000, 0.070711
388.000000, 0.071345
387.000000, 0.072305
386.000000, 0.072917
385.000000, 0.073940
384.000000, 0.072709
383.000000, 0.069760
382.000000, 0.071258
381.000000, 0.071236
380.000000, 0.071901
379.000000, 0.071360
378.000000, 0.071951
377.000000, 0.072052
376.000000, 0.071285
375.000000, 0.071183
374.000000, 0.070867
373.000000, 0.070331
372.000000, 0.069570
371.000000, 0.069483
370.000000, 0.068614
369.000000, 0.068520
368.000000, 0.067919
367.000000, 0.067672
366.000000, 0.067124
365.000000, 0.066958
364.000000, 0.066854
363.000000, 0.066910
362.000000, 0.067070
361.000000, 0.067312
360.000000, 0.067810
359.000000, 0.068032
358.000000, 0.068893
357.000000, 0.069495
356.000000, 0.071206
355.000000, 0.072253
354.000000, 0.074612
353.000000, 0.076729
352.000000, 0.079968
351.000000, 0.083171
350.000000, 0.087376
