nm, A
410.000000, 0.080793
409.000000, 0.078902
408.000000, 0.077267
407.000000, 0.075903
406.000000, 0.074747
405.000000, 0.073714
404.000000, 0.072935
403.000000, 0.072263
402.000000, 0.071792
401.000000, 0.071269
400.000000, 0.070853
399.000000, 0.070497
398.000000, 0.070367
397.000000, 0.070432
396.000000, 0.070411
395.000000, 0.070353
394.000000, 0.070456
393.000000, 0.070604
392.000000, 0.070968
391.000000, 0.071150
390.000000, 0.071640
389.000000, 0.072211
388.000000, 0.072707
387.000000, 0.073399
386.000000, 0.073829
385.000000, 0.074551
384.000000, 0.073188
383.000000, 0.070637
382.000000, 0.072425
381.000000, 0.071841
380.000000, 0.072357
379.000000, 0.072396
378.000000, 0.072424
377.000000, 0.072540
376.000000, 0.071988
375.000000, 0.071821
374.000000, 0.071269
373.000000, 0.070995
372.000000, 0.069805
371.000000, 0.069601
370.000000, 0.068625
369.000000, 0.068211
368.000000, 0.067281
367.000000, 0.066827
366.000000, 0.066302
365.000000, 0.065585
364.000000, 0.065307
363.000000, 0.064952
362.000000, 0.064778
361.000000, 0.064554
360.000000, 0.064935
359.000000, 0.064187
358.000000, 0.064889
357.000000, 0.064628
356.000000, 0.065524
355.000000, 0.066052
354.000000, 0.067411
353.000000, 0.068501
352.000000, 0.070755
351.000000, 0.072829
350.000000, 0.075241
