Labels,1e lifetime,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,49.987793,
Step,0.012207031,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

2.3803711,1.41000000E+2,
2.3925781,1.19000000E+2,
2.4047852,1.44000000E+2,
2.4169922,1.23000000E+2,
2.4291992,1.37000000E+2,
2.4414063,1.45000000E+2,
2.4536133,1.49000000E+2,
2.465820,1.15000000E+2,
2.4780273,1.39000000E+2,
2.4902344,1.59000000E+2,
2.5024414,1.44000000E+2,
2.5146484,1.44000000E+2,
2.5268555,1.63000000E+2,
2.5390625,1.43000000E+2,
2.551270,1.69000000E+2,
2.5634766,1.41000000E+2,
2.5756836,1.66000000E+2,
2.5878906,1.94000000E+2,
2.6000977,1.87000000E+2,
2.6123047,1.48000000E+2,
2.6245117,1.80000000E+2,
2.6367188,2.06000000E+2,
2.6489258,1.78000000E+2,
2.6611328,2.11000000E+2,
2.673340,2.03000000E+2,
2.6855469,2.06000000E+2,
2.6977539,2.20000000E+2,
2.7099609,2.10000000E+2,
2.7221680,2.18000000E+2,
2.7343750,2.35000000E+2,
2.7465820,2.17000000E+2,
2.7587891,2.27000000E+2,
2.7709961,2.51000000E+2,
2.7832031,2.60000000E+2,
2.795410,2.83000000E+2,
2.8076172,2.89000000E+2,
2.8198242,2.88000000E+2,
2.8320313,2.80000000E+2,
2.8442383,3.14000000E+2,
2.8564453,3.28000000E+2,
2.8686523,2.86000000E+2,
2.8808594,3.06000000E+2,
2.8930664,3.09000000E+2,
2.9052734,3.29000000E+2,
2.917480,3.80000000E+2,
2.9296875,3.53000000E+2,
2.9418945,3.44000000E+2,
2.9541016,4.08000000E+2,
2.9663086,4.02000000E+2,
2.9785156,4.32000000E+2,
2.9907227,4.15000000E+2,
3.002930,4.48000000E+2,
3.0151367,4.49000000E+2,
3.0273438,4.96000000E+2,
3.0395508,4.76000000E+2,
3.0517578,4.90000000E+2,
3.0639648,5.08000000E+2,
3.0761719,5.18000000E+2,
3.0883789,5.49000000E+2,
3.1005859,5.75000000E+2,
3.1127930,6.31000000E+2,
3.1250,5.43000000E+2,
3.1372070,6.41000000E+2,
3.1494141,6.41000000E+2,
3.1616211,7.00000000E+2,
3.1738281,7.33000000E+2,
3.1860352,7.09000000E+2,
3.1982422,7.72000000E+2,
3.2104492,6.97000000E+2,
3.2226563,7.60000000E+2,
3.2348633,8.36000000E+2,
3.247070,8.22000000E+2,
3.2592773,8.67000000E+2,
3.2714844,8.51000000E+2,
3.2836914,9.34000000E+2,
3.2958984,9.51000000E+2,
3.3081055,9.89000000E+2,
3.3203125,1.00100000E+3,
3.332520,1.04500000E+3,
3.3447266,1.02100000E+3,
3.3569336,1.10200000E+3,
3.3691406,1.12100000E+3,
3.3813477,1.14400000E+3,
3.3935547,1.12100000E+3,
3.4057617,1.27300000E+3,
3.4179688,1.20600000E+3,
3.4301758,1.23000000E+3,
3.4423828,1.27300000E+3,
3.454590,1.30300000E+3,
3.4667969,1.35300000E+3,
3.4790039,1.36600000E+3,
3.4912109,1.43600000E+3,
3.5034180,1.44400000E+3,
3.5156250,1.50900000E+3,
3.5278320,1.44200000E+3,
3.5400391,1.54300000E+3,
3.5522461,1.49900000E+3,
3.5644531,1.55800000E+3,
3.576660,1.66400000E+3,
3.5888672,1.64900000E+3,
3.6010742,1.69900000E+3,
3.6132813,1.79600000E+3,
3.6254883,1.80000000E+3,
3.6376953,1.83300000E+3,
3.6499023,1.86200000E+3,
3.6621094,1.89600000E+3,
3.6743164,1.88000000E+3,
3.6865234,1.96600000E+3,
3.698730,1.97300000E+3,
3.7109375,2.11000000E+3,
3.7231445,2.05300000E+3,
3.7353516,2.05300000E+3,
3.7475586,2.18000000E+3,
3.7597656,2.10400000E+3,
3.7719727,2.12500000E+3,
3.784180,2.29200000E+3,
3.7963867,2.23400000E+3,
3.8085938,2.35800000E+3,
3.8208008,2.30400000E+3,
3.8330078,2.46200000E+3,
3.8452148,2.40000000E+3,
3.8574219,2.36700000E+3,
3.8696289,2.52100000E+3,
3.8818359,2.49400000E+3,
3.8940430,2.57700000E+3,
3.906250,2.57700000E+3,
3.9184570,2.57300000E+3,
3.9306641,2.59900000E+3,
3.9428711,2.64600000E+3,
3.9550781,2.73400000E+3,
3.9672852,2.67100000E+3,
3.9794922,2.72500000E+3,
3.9916992,2.70600000E+3,
4.0039063,2.71400000E+3,
4.0161133,2.88300000E+3,
4.028320,2.90100000E+3,
4.0405273,2.89700000E+3,
4.0527344,2.82000000E+3,
4.0649414,2.87500000E+3,
4.0771484,2.99800000E+3,
4.0893555,3.01700000E+3,
4.1015625,2.95900000E+3,
4.113770,3.10400000E+3,
4.1259766,3.08200000E+3,
4.1381836,3.19700000E+3,
4.1503906,3.22900000E+3,
4.1625977,3.23400000E+3,
4.1748047,3.14800000E+3,
4.1870117,3.27800000E+3,
4.1992188,3.27100000E+3,
4.2114258,3.26800000E+3,
4.2236328,3.27600000E+3,
4.235840,3.33400000E+3,
4.2480469,3.26100000E+3,
4.2602539,3.36900000E+3,
4.2724609,3.42400000E+3,
4.2846680,3.47100000E+3,
4.2968750,3.39500000E+3,
4.3090820,3.47000000E+3,
4.3212891,3.47800000E+3,
4.3334961,3.54600000E+3,
4.3457031,3.60600000E+3,
4.357910,3.53000000E+3,
4.3701172,3.55200000E+3,
4.3823242,3.60700000E+3,
4.3945313,3.60100000E+3,
4.4067383,3.57200000E+3,
4.4189453,3.69700000E+3,
4.4311523,3.74800000E+3,
4.4433594,3.69400000E+3,
4.4555664,3.77900000E+3,
4.4677734,3.76000000E+3,
4.479980,3.61700000E+3,
4.4921875,3.79600000E+3,
4.5043945,3.86400000E+3,
4.5166016,3.80400000E+3,
4.5288086,3.77200000E+3,
4.5410156,3.73400000E+3,
4.5532227,3.75000000E+3,
4.565430,3.74900000E+3,
4.5776367,3.76500000E+3,
4.5898438,3.93100000E+3,
4.6020508,3.88400000E+3,
4.6142578,3.78800000E+3,
4.6264648,3.82600000E+3,
4.6386719,3.77500000E+3,
4.6508789,4.05000000E+3,
4.6630859,3.80600000E+3,
4.6752930,3.81800000E+3,
4.68750,3.89800000E+3,
4.6997070,4.00500000E+3,
4.7119141,3.88100000E+3,
4.7241211,3.83700000E+3,
4.7363281,3.88000000E+3,
4.7485352,3.96000000E+3,
4.7607422,3.90500000E+3,
4.7729492,3.86300000E+3,
4.7851563,3.88500000E+3,
4.7973633,3.80900000E+3,
4.809570,3.91800000E+3,
4.8217773,3.90700000E+3,
4.8339844,3.79600000E+3,
4.8461914,3.97400000E+3,
4.8583984,3.80200000E+3,
4.8706055,3.89800000E+3,
4.8828125,3.93600000E+3,
4.895020,3.86000000E+3,
4.9072266,3.91300000E+3,
4.9194336,3.91400000E+3,
4.9316406,3.83400000E+3,
4.9438477,3.83000000E+3,
4.9560547,3.84100000E+3,
4.9682617,3.88100000E+3,
4.9804688,3.85900000E+3,
4.9926758,3.96400000E+3,
5.0048828,3.83600000E+3,
5.017090,3.86900000E+3,
5.0292969,3.96000000E+3,
5.0415039,3.91900000E+3,
5.0537109,3.87300000E+3,
5.0659180,3.90100000E+3,
5.0781250,3.97700000E+3,
5.0903320,3.87600000E+3,
5.1025391,4.01300000E+3,
5.1147461,3.87900000E+3,
5.1269531,3.84200000E+3,
5.139160,3.89600000E+3,
5.1513672,3.95100000E+3,
5.1635742,3.84100000E+3,
5.1757813,3.80500000E+3,
5.1879883,3.79600000E+3,
5.2001953,3.94100000E+3,
5.2124023,3.86300000E+3,
5.2246094,3.91200000E+3,
5.2368164,3.85000000E+3,
5.2490234,3.87300000E+3,
5.261230,3.74600000E+3,
5.2734375,3.74700000E+3,
5.2856445,3.72500000E+3,
5.2978516,3.89300000E+3,
5.3100586,3.81800000E+3,
5.3222656,3.85000000E+3,
5.3344727,3.77300000E+3,
5.346680,3.72000000E+3,
5.3588867,3.73900000E+3,
5.3710938,3.69900000E+3,
5.3833008,3.76400000E+3,
5.3955078,3.64700000E+3,
5.4077148,3.70800000E+3,
5.4199219,3.65100000E+3,
5.4321289,3.59200000E+3,
5.4443359,3.58800000E+3,
5.4565430,3.59200000E+3,
5.468750,3.48800000E+3,
5.4809570,3.53400000E+3,
5.4931641,3.55800000E+3,
5.5053711,3.62100000E+3,
5.5175781,3.64200000E+3,
5.5297852,3.56200000E+3,
5.5419922,3.55800000E+3,
5.5541992,3.56700000E+3,
5.5664063,3.61700000E+3,
5.5786133,3.66600000E+3,
5.590820,3.51800000E+3,
5.6030273,3.55200000E+3,
5.6152344,3.53900000E+3,
5.6274414,3.73200000E+3,
5.6396484,3.77000000E+3,
5.6518555,3.78800000E+3,
5.6640625,3.79000000E+3,
5.676270,3.78700000E+3,
5.6884766,3.81100000E+3,
5.7006836,3.87700000E+3,
5.7128906,3.84000000E+3,
5.7250977,3.85900000E+3,
5.7373047,3.89200000E+3,
5.7495117,3.82600000E+3,
5.7617188,3.90100000E+3,
5.7739258,3.76600000E+3,
5.7861328,3.65300000E+3,
5.798340,3.78600000E+3,
5.8105469,3.73500000E+3,
5.8227539,3.56500000E+3,
5.8349609,3.55500000E+3,
5.8471680,3.42200000E+3,
5.8593750,3.44600000E+3,
5.8715820,3.31800000E+3,
